Part Name,Color,Quantity,Part ID,Color Code
"Minifig Hair Swept Left Tousled","Dark Brown",1,23186.dat,308
"Minifig Goblet","Trans Clear",1,2343.dat,47
"Bar Tube with Handle","Black",1,23443.dat,0
"Bar Tube with Handle","Light Bluish Grey",2,23443.dat,71
"Panel  1 x  2 x  1 Double Corner with Rounded Corners","Tan",1,23969.dat,19
"Minifig Book Cover","Reddish Brown",1,24093.dat,70
"Tile  1 x  2 Grille with Groove","Dark Blue",9,2412b.dat,272
"Tile  1 x  2 Grille with Groove","Dark Orange",1,2412b.dat,484
"Plant Leaves  6 x  5","Bright Green",53,2417.dat,10
"Plant Leaves  6 x  5","Dark Green",35,2417.dat,288
"Plate  2 x  2 Corner","Dark Tan",1,2420.dat,28
"Plate  2 x  2 Corner","Reddish Brown",14,2420.dat,70
"Plate  2 x  2 Corner","Medium Nougat",1,2420.dat,84
"Slope Brick Curved  2 x  1 Inverted","Reddish Brown",2,24201.dat,70
"Plant Leaves  4 x  3","Olive Green",3,2423.dat,330
"Tile  1 x  1 with Rounded End","Light Bluish Grey",1,24246.dat,71
"Hinge Plate  1 x  4 Base","Black",48,2429.dat,0
"Hinge Plate  1 x  4 Top","Black",48,2430.dat,0
"Tile  1 x  4 with Groove","Black",6,2431.dat,0
"Tile  1 x  4 with Groove","Tan",13,2431.dat,19
"Tile  1 x  4 with Groove","Reddish Brown",12,2431.dat,70
"Tile  1 x  4 with Groove","Medium Nougat",16,2431.dat,84
"Tile  1 x  4 with Groove","Dark Blue",12,2431.dat,272
"Tile  1 x  4 with Groove","Sand Green",10,2431.dat,378
"Minifig Book Base with Two Studs","Reddish Brown",1,24324.dat,70
"Plate  2 x 12","Black",3,2445.dat,0
"Plate  3 x  3 without Corner","Dark Blue",12,2450.dat,272
"Brick  2 x  6","Green",1,2456.dat,2
"Brick  2 x  6","White",1,2456.dat,15
"Brick  1 x  2 with Pin","Red",4,2458.dat,4
"Brick  1 x 16","Reddish Brown",8,2465.dat,70
"Plate  1 x  1 with  5 Petals","Green",6,24866.dat,2
"Barrel  2 x  2 x  1.667","Dark Brown",1,2489.dat,308
"Tile  1 x  1 Corner Round","Reddish Brown",3,25269.dat,70
"Tile  1 x  1 Corner Round","Medium Nougat",9,25269.dat,84
"Hose Reel  2 x  2 Holder","Black",1,2584.dat,0
"Hose Reel  2 x  2","Light Bluish Grey",1,2585.dat,71
"Plate  1 x  1 Round with Horizontal Handle on Side","Reddish Brown",7,26047.dat,70
"Plate  4 x  4 Corner","Dark Bluish Grey",12,2639.dat,72
"Dish  2 x  2 with Rim","Black",19,2654a.dat,0
"Dish  2 x  2 with Rim","Reddish Brown",1,2654a.dat,70
"Plate  2 x  2 without Corner","Reddish Brown",4,26601.dat,70
"Plate  2 x  2 without Corner","Dark Blue",8,26601.dat,272
"Tile  2 x  3","Black",1,26603.dat,0
"Brick  1 x  1 with Studs on Two Adjacent Sides","Light Bluish Grey",20,26604.dat,71
"Brick  1 x  1","Black",1,3005.dat,0
"Brick  1 x  1","Reddish Brown",7,3005.dat,70
"Brick  1 x  1","Medium Nougat",56,3005.dat,84
"Brick  1 x  1","Dark Green",2,3005.dat,288
"Brick  1 x  8","Tan",1,3008.dat,19
"Arch  1 x  5 x  4 Inverted","Reddish Brown",3,30099.dat,70
"Brick  1 x  4","Black",4,3010.dat,0
"Brick  1 x  4","Red",1,3010.dat,4
"Brick  1 x  4","Dark Green",2,3010.dat,288
"Minifig Chain End for Chain  6L and 17L","Light Bluish Grey",4,30104k01.dat,71
"Minifig Chain Link for Chain  6L and 17L","Light Bluish Grey",38,30104k02.dat,71
"Staircase  7 x  4 x  6 Open","Reddish Brown",1,30134.dat,70
"Brick  1 x  2 Log","Reddish Brown",16,30136.dat,70
"Brick  1 x  2 Log","Medium Nougat",15,30136.dat,84
"Brick  1 x  2 Log","Dark Brown",2,30136.dat,308
"Brick  1 x  4 Log","Medium Nougat",33,30137.dat,84
"Container Adventurers Chest","Medium Nougat",1,30150.dat,84
"Cylinder  2 x  2 x  1.667 with Dome Top and Hollow Stud","Trans Clear",1,30151b.dat,47
"Rock  1 x  1 Gem Facetted","Trans Yellow",1,30153.dat,46
"Minifig Binoculars with Round Eyepiece","Dark Bluish Grey",1,30162.dat,72
"Minifig Binoculars with Round Eyepiece","Pearl Gold",1,30162.dat,297
"Plate  2 x  4","Black",1,3020.dat,0
"Plate  2 x  4","Green",3,3020.dat,2
"Plate  2 x  4","Red",2,3020.dat,4
"Plate  2 x  4","Yellow",7,3020.dat,14
"Plate  2 x  4","Tan",5,3020.dat,19
"Plate  2 x  4","Reddish Brown",45,3020.dat,70
"Plate  2 x  4","Medium Nougat",1,3020.dat,84
"Plate  2 x  4","Bright Light Orange",1,3020.dat,191
"Plate  2 x  4","Dark Green",10,3020.dat,288
"Plate  2 x  3","Black",2,3021.dat,0
"Plate  2 x  3","Lime",1,3021.dat,27
"Plate  2 x  3","Reddish Brown",20,3021.dat,70
"Plate  2 x  3","Dark Blue",12,3021.dat,272
"Plate  2 x  3","Dark Green",10,3021.dat,288
"Plate  2 x  3","Dark Azure",4,3021.dat,321
"Plate  2 x  2","Black",4,3022.dat,0
"Plate  2 x  2","Green",1,3022.dat,2
"Plate  2 x  2","Red",2,3022.dat,4
